<http://dbpedia.org/ontology/einecsNumber> <http://www.wikidata.org/entity/P232>
<http://dbpedia.org/ontology/director> <http://schema.org/director>
<http://dbpedia.org/ontology/almaMater> <http://www.wikidata.org/entity/P69>
<http://dbpedia.org/ontology/landingDate> <http://www.wikidata.org/entity/P620>
<http://dbpedia.org/ontology/fuelSystem> <http://www.wikidata.org/entity/P1211>
<http://dbpedia.org/ontology/iso6393Code> <http://www.wikidata.org/entity/P220>
<http://dbpedia.org/ontology/religion> <http://www.wikidata.org/entity/P140>
<http://dbpedia.org/ontology/birthPlace> <http://www.wikidata.org/entity/P19>
<http://dbpedia.org/ontology/elo> <http://www.wikidata.org/entity/P1087>
<http://dbpedia.org/ontology/genus> <http://www.wikidata.org/entity/P74>
<http://dbpedia.org/ontology/generalManager> <http://www.wikidata.org/entity/P505>
<http://dbpedia.org/ontology/starring> <http://www.wikidata.org/entity/P161>
<http://dbpedia.org/ontology/emblem> <http://www.wikidata.org/entity/P158>
<http://dbpedia.org/ontology/country> <http://www.wikidata.org/entity/P17>
<http://dbpedia.org/ontology/creator> <http://www.wikidata.org/entity/P170>
<http://dbpedia.org/ontology/namedAfter> <http://www.wikidata.org/entity/P138>
<http://dbpedia.org/ontology/runtime> <http://schema.org/duration>
<http://dbpedia.org/ontology/parentOrganisation> <http://schema.org/branchOf>
<http://dbpedia.org/ontology/flag> <http://www.wikidata.org/entity/P41>
<http://dbpedia.org/ontology/icd9> <http://www.wikidata.org/entity/P493>
<http://dbpedia.org/ontology/settlement> <http://www.wikidata.org/entity/P131>
<http://dbpedia.org/ontology/residence> <http://www.wikidata.org/entity/P263>
<http://dbpedia.org/ontology/type> <http://www.wikidata.org/entity/P31>
<http://dbpedia.org/ontology/iso31661Code> <http://www.wikidata.org/entity/P298>
